customer_id,invoice_id,invoice_amount,invoice_date,due_date,payment_date,payment_status,days_overdue,previous_payments,previous_late_payments,average_payment_delay,payment_failures,communication_count,last_contact_days,discount_used,recovered,customer_segment,customer_lifetime_value,payment_delay,invoice_age,late_payment_ratio,payment_reliability_score,overdue_revenue,recovery_opportunity,overdue_severity,invoice_value_category,payment_behavior_score,communication_effectiveness,customer_value_score,overdue_risk_score,recovery_potential_score,expected_recovery_baseline,recovery_priority_score
CUST0739,INV000001,118526.09,2026-01-25,2026-02-24,,Overdue,191,28,5,31,0,6,27,1,0,SMB,3222382,191.0,221,0.17857142857142858,82.14,118526.09,118526.09,Critical,Medium,72.47,0.176,64.45,55.36,56.11,66504.99,193529.52
CUST0726,INV000002,5000.0,2025-08-05,2025-08-20,,Overdue,379,16,4,18,0,5,37,0,0,Mid-Market,3474083,379.0,394,0.25,75.0,5000.0,5000.0,Critical,Small,76.7,0.116,69.48,57.5,50.94,2547.0,12200.13
CUST0872,INV000003,45176.46,2026-02-03,2026-03-20,,Overdue,167,21,7,0,1,7,88,0,0,SMB,4049453,167.0,212,0.3333333333333333,66.67,45176.46,45176.46,Critical,Small,81.34,0.073,80.99,64.0,44.06,19904.75,53145.68
CUST1687,INV000004,19906.52,2025-09-17,2025-10-17,2025-11-09,Paid,0,2,1,16,4,7,30,0,1,Enterprise,761943,23.0,351,0.5,50.0,0.0,0.0,Current,Small,57.4,0.184,15.24,31.0,50.33,10018.95,10018.95
CUST0192,INV000005,147389.17,2025-11-16,2025-12-01,,Overdue,276,26,6,30,0,6,88,0,0,Enterprise,4402892,276.0,291,0.23076923076923078,76.92,147389.17,147389.17,Critical,Medium,70.46,0.063,88.06,56.92,50.95,75094.78,282356.37
CUST1987,INV000006,30972.8,2025-07-15,2025-08-14,,Overdue,385,22,3,6,1,4,65,0,0,Mid-Market,2764766,385.0,415,0.13636363636363635,86.36,30972.8,30972.8,Critical,Small,87.58,0.057,55.3,58.09,54.67,16932.83,82124.23
CUST1576,INV000007,15368.8,2026-04-23,2026-05-23,2026-05-30,Paid,0,3,0,0,0,7,15,0,1,SMB,638574,7.0,133,0.0,100.0,0.0,0.0,Current,Small,100.0,0.304,12.77,0.0,86.08,13229.46,13229.46
CUST1266,INV000008,17193.61,2026-02-22,2026-03-24,,Overdue,163,28,11,17,0,6,24,0,1,SMB,858301,163.0,193,0.39285714285714285,60.71,17193.61,17193.61,Critical,Small,70.16,0.194,17.17,61.79,44.57,7663.19,20154.19
CUST0138,INV000009,22923.24,2026-04-20,2026-05-05,,Overdue,121,16,5,13,3,1,11,0,0,Mid-Market,2893236,121.0,136,0.3125,68.75,22923.24,22923.24,Critical,Small,70.58,0.077,57.86,71.38,42.49,9740.08,21525.58
CUST0345,INV000010,7024.85,2026-07-22,2026-08-21,,Overdue,13,26,4,13,1,7,50,0,0,SMB,4120028,13.0,43,0.15384615384615385,84.62,7024.85,7024.85,Mild,Small,82.51,0.121,82.4,14.03,70.59,4958.84,5603.49
CUST1204,INV000011,10230.52,2026-06-28,2026-08-12,2026-08-12,Paid,0,10,0,10,0,3,30,0,1,SMB,330833,0.0,67,0.0,100.0,0.0,0.0,Current,Small,94.0,0.088,6.62,0.0,81.76,8364.47,8364.47
CUST1009,INV000012,5000.0,2025-08-19,2025-09-03,2025-09-11,Paid,0,29,5,6,0,0,18,0,1,SMB,4455813,8.0,380,0.1724137931034483,82.76,0.0,0.0,Current,Small,87.78,0.0,89.12,5.17,70.43,3521.5,3521.5
CUST1736,INV000013,8751.87,2026-06-05,2026-07-05,,Overdue,60,29,11,5,1,7,33,1,1,Enterprise,1929262,60.0,90,0.3793103448275862,62.07,8751.87,8751.87,Moderate,Small,76.04,0.171,38.59,40.38,52.22,4570.23,7312.37
CUST0503,INV000014,24195.13,2025-07-19,2025-08-18,2025-09-07,Paid,0,9,2,15,1,3,3,1,1,SMB,2878630,20.0,411,0.2222222222222222,77.78,0.0,0.0,Current,Small,77.89,0.429,57.57,10.67,74.85,18110.05,18110.05
CUST0203,INV000015,29737.82,2026-08-22,2026-09-21,,Overdue,0,14,5,19,1,4,66,0,0,SMB,2700235,0.0,12,0.35714285714285715,64.29,29737.82,0.0,Current,Small,68.74,0.056,54.0,14.71,59.9,17812.95,17812.95
CUST0573,INV000016,5000.0,2025-01-21,2025-02-20,,Overdue,560,25,6,8,0,1,11,0,0,SMB,1967043,560.0,590,0.24,76.0,5000.0,5000.0,Critical,Small,83.2,0.077,39.34,57.2,50.72,2536.0,16737.6
CUST0192,INV000017,19202.36,2025-11-07,2025-12-07,,Overdue,270,8,3,25,1,0,85,0,0,Enterprise,4402892,270.0,300,0.375,62.5,19202.36,19202.36,Critical,Small,64.25,0.0,88.06,65.25,40.29,7736.63,28625.53
CUST0005,INV000018,38692.84,2026-08-11,2026-09-10,2026-09-24,Paid,0,2,0,12,1,3,23,0,1,SMB,123997,14.0,23,0.0,100.0,0.0,0.0,Current,Small,90.8,0.111,2.48,4.0,80.82,31271.55,31271.55
CUST1914,INV000019,18715.13,2026-08-19,2026-09-18,,Overdue,0,11,2,20,0,1,56,0,0,SMB,3516689,0.0,15,0.18181818181818182,81.82,18715.13,0.0,Current,Small,78.91,0.017,70.33,5.45,70.25,13147.38,13147.38
CUST1261,INV000020,11686.75,2026-03-10,2026-04-09,,Overdue,147,2,0,8,4,4,65,1,0,SMB,1947951,147.0,177,0.0,100.0,11686.75,11686.75,Critical,Small,87.2,0.057,38.96,66.0,58.04,6782.99,16753.99
CUST1717,INV000021,14586.31,2026-01-06,2026-02-20,,Overdue,195,27,12,13,0,2,52,1,0,SMB,1284215,195.0,240,0.4444444444444444,55.56,14586.31,14586.31,Critical,Small,69.98,0.036,25.68,63.33,38.56,5624.48,16592.22
CUST0311,INV000022,12826.09,2026-07-14,2026-07-29,,Overdue,36,15,3,16,2,5,7,0,1,SMB,138668,36.0,51,0.2,80.0,12826.09,12826.09,Moderate,Small,76.4,0.385,2.77,29.0,68.55,8792.28,11957.5
CUST0549,INV000023,11652.42,2025-03-19,2025-05-18,2025-05-28,Paid,0,18,4,11,0,4,81,0,1,Mid-Market,3120771,10.0,533,0.2222222222222222,77.78,0.0,0.0,Current,Small,82.29,0.047,62.42,6.67,68.61,7994.73,7994.73
CUST0056,INV000024,26208.09,2026-06-26,2026-08-10,2026-08-12,Paid,0,5,2,0,1,4,35,0,1,Enterprise,738725,2.0,69,0.4,60.0,0.0,0.0,Current,Small,78.0,0.1,14.77,16.0,58.4,15305.52,15305.52
CUST0443,INV000025,221391.57,2025-10-12,2025-11-26,2025-12-24,Paid,0,28,10,25,2,1,16,0,1,SMB,387913,28.0,326,0.35714285714285715,64.29,0.0,0.0,Current,Large,63.14,0.056,7.76,18.71,58.5,129514.07,129514.07
CUST1261,INV000026,10470.32,2025-05-20,2025-06-19,,Overdue,441,26,9,11,1,1,51,0,0,SMB,1947951,441.0,471,0.34615384615384615,65.38,10470.32,10470.32,Critical,Small,74.09,0.019,38.96,64.38,42.27,4425.8,23943.58
CUST0870,INV000027,16024.23,2026-07-07,2026-08-21,,Overdue,13,25,6,0,2,5,53,0,0,Enterprise,2972705,13.0,58,0.24,76.0,16024.23,16024.23,Mild,Small,84.0,0.085,59.45,20.62,63.68,10204.23,11530.78
CUST1885,INV000028,20916.68,2025-10-09,2025-11-08,2025-11-18,Paid,0,7,4,7,1,3,67,0,1,SMB,2871839,10.0,329,0.5714285714285714,42.86,0.0,0.0,Current,Small,65.23,0.042,57.44,21.14,47.73,9983.53,9983.53
CUST1221,INV000029,11077.21,2026-07-16,2026-08-15,,Overdue,19,23,6,28,0,7,76,0,1,Enterprise,3143510,19.0,49,0.2608695652173913,73.91,11077.21,11077.21,Mild,Small,70.16,0.083,62.87,15.74,64.41,7134.83,8490.45
CUST0585,INV000030,66054.52,2025-09-15,2025-09-30,,Overdue,338,19,7,24,2,0,52,0,0,Mid-Market,1003692,338.0,353,0.3684210526315789,63.16,66054.52,66054.52,Critical,Medium,63.18,0.0,20.07,69.05,39.25,25926.4,113557.63
CUST1595,INV000031,5000.0,2025-12-26,2026-02-24,,Overdue,191,19,8,15,1,4,86,0,0,Mid-Market,2977053,191.0,251,0.42105263157894735,57.89,5000.0,5000.0,Critical,Small,67.94,0.044,59.54,66.63,38.61,1930.5,5617.76
CUST0752,INV000032,12951.16,2026-03-16,2026-04-15,,Overdue,141,26,5,20,1,6,84,0,1,Enterprise,922328,141.0,171,0.19230769230769232,80.77,12951.16,12951.16,Critical,Small,76.38,0.066,18.45,59.77,51.75,6702.23,16152.37
CUST1538,INV000033,49926.83,2025-09-27,2025-11-26,,Overdue,281,16,4,26,1,1,71,0,0,Mid-Market,2976979,281.0,341,0.25,75.0,49926.83,49926.83,Critical,Small,69.9,0.014,59.54,61.5,47.5,23715.24,90355.06
CUST1473,INV000034,16414.26,2025-05-14,2025-06-13,,Overdue,447,19,5,13,0,6,55,0,0,Enterprise,1756826,447.0,477,0.2631578947368421,73.68,16414.26,16414.26,Critical,Small,79.04,0.097,35.14,57.89,49.83,8179.23,44740.39
CUST0360,INV000035,9693.02,2025-04-14,2025-06-13,,Overdue,447,17,6,23,2,1,37,0,0,Mid-Market,2442919,447.0,507,0.35294117647058826,64.71,9693.02,9693.02,Critical,Small,64.55,0.026,48.86,68.59,40.63,3938.27,21542.34
CUST1724,INV000036,34226.54,2025-04-05,2025-06-04,,Overdue,456,13,3,4,2,4,7,1,0,SMB,411309,456.0,516,0.23076923076923078,76.92,34226.54,34226.54,Critical,Small,82.06,0.333,8.23,64.92,53.55,18328.31,101905.4
CUST0819,INV000037,54521.11,2026-07-27,2026-09-25,,Overdue,0,28,5,1,1,3,23,0,1,SMB,323452,0.0,38,0.17857142857142858,82.14,54521.11,0.0,Current,Medium,88.47,0.111,6.47,9.36,70.91,38660.92,38660.92
CUST0030,INV000038,27190.84,2026-04-25,2026-05-25,,Overdue,101,8,3,12,2,1,1,1,0,SMB,3785444,101.0,131,0.375,62.5,27190.84,27190.84,Critical,Small,70.05,0.333,75.71,61.33,48.32,13138.61,26408.61
CUST1803,INV000039,9885.06,2025-08-29,2025-10-28,,Overdue,310,28,7,19,0,7,12,0,0,SMB,4686440,310.0,370,0.25,75.0,9885.06,9885.06,Critical,Small,76.1,0.35,93.73,57.5,55.62,5498.07,22542.09
CUST0108,INV000040,34759.33,2025-01-13,2025-03-14,,Overdue,538,11,5,25,1,2,15,1,0,Mid-Market,3902666,538.0,598,0.45454545454545453,54.55,34759.33,34759.33,Critical,Small,60.28,0.111,78.05,67.64,38.09,13239.83,84470.12
CUST0844,INV000041,14734.56,2025-05-27,2025-06-26,2025-07-01,Paid,0,18,5,11,0,2,58,0,1,Enterprise,2104410,5.0,464,0.2777777777777778,72.22,0.0,0.0,Current,Small,79.51,0.033,42.09,8.33,65.24,9612.83,9612.83
CUST1959,INV000042,46406.13,2025-04-05,2025-05-05,2025-05-16,Paid,0,11,0,4,0,7,27,0,1,Mid-Market,320146,11.0,516,0.0,100.0,0.0,0.0,Current,Small,97.6,0.2,6.4,0.0,84.0,38981.15,38981.15
CUST1626,INV000043,97076.92,2025-10-20,2025-12-04,,Overdue,273,23,10,34,1,0,80,1,0,Mid-Market,3049610,273.0,318,0.43478260869565216,56.52,97076.92,97076.92,Critical,Medium,55.86,0.0,60.99,67.04,36.97,35889.34,133867.24
CUST0717,INV000044,5000.0,2025-01-25,2025-02-24,2025-03-13,Paid,0,9,2,10,0,6,79,0,1,Mid-Market,4076390,17.0,586,0.2222222222222222,77.78,0.0,0.0,Current,Small,82.89,0.07,81.53,6.67,69.07,3453.5,3453.5
CUST0891,INV000045,24613.92,2025-09-29,2025-11-13,,Overdue,294,14,4,2,1,3,49,0,0,Mid-Market,2949033,294.0,339,0.2857142857142857,71.43,24613.92,24613.92,Critical,Small,82.52,0.057,58.98,62.57,46.38,11415.94,44978.8
CUST1992,INV000046,5000.0,2026-05-20,2026-06-04,2026-06-25,Paid,0,2,1,18,0,6,63,1,1,SMB,1124477,21.0,106,0.5,50.0,0.0,0.0,Current,Small,64.2,0.086,22.49,15.0,53.97,2698.5,2698.5
