customer_id,total_invoices,total_invoice_value,average_invoice_value,average_days_overdue,maximum_days_overdue,total_previous_payments,total_previous_late_payments,average_payment_delay,total_payment_failures,total_communications,average_last_contact_days,payment_reliability_score,payment_behavior_score,customer_value_score,customer_lifetime_value,recovery_rate,late_payment_rate,payment_failure_rate,communication_per_invoice,cluster,customer_segment,recommended_strategy,customer_priority_score
CUST1618,2,69380.13,34690.065,537.5,552,35,10,12.0,4,12,34.5,74.13,75.86500000000001,97.65,4882303.0,0.0,0.2857142857142857,2.0,6.0,3,Valuable but Risky,Priority human intervention,40017447.8
CUST0322,1,10444.85,10444.85,535.0,535,25,6,7.0,2,4,43.0,76.0,79.8,83.2,4159803.0,0.0,0.24,2.0,4.0,3,Valuable but Risky,Priority human intervention,32754288.82
CUST1989,1,50926.92,50926.92,398.0,398,7,2,14.0,1,2,29.0,71.43,75.32,96.69,4834377.0,0.0,0.2857142857142857,1.0,2.0,3,Valuable but Risky,Priority human intervention,30953825.31
CUST0022,3,64753.33,21584.443333333333,435.3333333333333,582,48,16,2.6666666666666665,1,5,40.0,59.80666666666667,77.63666666666667,81.69,4084464.0,0.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,3,Valuable but Risky,Priority human intervention,29153996.37
CUST0301,1,17848.45,17848.45,522.0,522,18,8,21.0,0,1,5.0,55.56,65.18,64.56,3227902.0,0.0,0.4444444444444444,0.0,1.0,3,Valuable but Risky,Priority human intervention,29000906.19
CUST1683,2,160044.66,80022.33,360.0,431,52,14,32.5,1,3,31.5,73.185,66.09,99.28,4964082.0,0.0,0.2692307692307692,0.5,1.5,3,Valuable but Risky,Priority human intervention,28982601.83
CUST0037,3,109867.98999999999,36622.66333333333,390.6666666666667,461,37,11,20.0,0,10,42.666666666666664,64.80333333333333,70.39999999999999,89.92,4496228.0,0.0,0.2972972972972973,0.0,3.3333333333333335,3,Valuable but Risky,Priority human intervention,28620314.02
CUST0178,3,75131.56,25043.853333333333,366.0,550,26,9,12.0,3,5,53.0,70.0,75.8,89.31,4465677.0,0.3333333333333333,0.34615384615384615,1.0,1.6666666666666667,3,Valuable but Risky,Priority human intervention,28013535.33
CUST1941,5,126107.8,25221.56,477.2,515,105,36,23.4,3,19,34.2,63.82000000000001,66.672,70.96,3547831.0,0.0,0.34285714285714286,0.6,3.8,3,Valuable but Risky,Priority human intervention,27499136.71
CUST1794,4,133493.03,33373.2575,389.25,571,54,15,14.5,2,24,47.0,79.5,80.05,87.07,4353677.0,0.25,0.2777777777777778,0.5,6.0,0,Valuable but Risky,Priority human intervention,27217132.7
CUST1845,2,40617.05,20308.525,426.0,551,20,9,10.0,1,4,30.5,43.75,64.875,71.25,3562305.0,0.0,0.45,0.5,2.0,3,Valuable but Risky,Priority human intervention,27169700.24
CUST0048,2,52379.979999999996,26189.989999999998,467.5,489,43,15,17.5,1,6,80.5,63.78,70.39,70.97,3548408.0,0.0,0.3488372093023256,0.5,3.0,3,Valuable but Risky,Priority human intervention,27161825.42
CUST0053,4,200851.91,50212.9775,393.75,551,92,28,12.75,1,15,47.0,68.62,76.1625,84.04,4201785.0,0.25,0.30434782608695654,0.25,3.75,0,Valuable but Risky,Priority human intervention,27060408.83
CUST0305,2,31538.53,15769.265,432.5,520,28,4,19.5,2,6,59.0,88.235,80.42,87.09,4354459.0,0.0,0.14285714285714285,1.0,3.0,0,Valuable but Risky,Priority human intervention,26499993.34
CUST1065,1,184964.29,184964.29,349.0,349,21,5,18.0,3,6,66.0,76.19,71.3,94.09,4704419.0,0.0,0.23809523809523808,3.0,6.0,3,Valuable but Risky,Priority human intervention,26152089.24
CUST1905,4,63130.240000000005,15782.560000000001,321.5,515,81,26,14.0,4,17,69.75,64.205,71.705,93.91,4695287.0,0.25,0.32098765432098764,1.0,4.25,3,Valuable but Risky,Priority human intervention,26143184.12
CUST0563,3,18579.07,6193.0233333333335,324.6666666666667,527,41,11,14.666666666666666,7,10,28.666666666666668,82.19,77.62666666666667,96.09999999999998,4804896.0,0.3333333333333333,0.2682926829268293,2.3333333333333335,3.3333333333333335,0,Valuable but Risky,Priority human intervention,25879247.98
CUST0009,4,126862.77,31715.6925,304.25,498,69,19,13.25,2,9,49.75,78.93,80.51750000000001,100.0,4999982.0,0.5,0.2753623188405797,0.5,2.25,0,Valuable but Risky,Priority human intervention,25778168.07
CUST0002,1,22805.14,22805.14,377.0,377,25,10,8.0,0,4,73.0,60.0,75.2,77.03,3851250.0,0.0,0.4,0.0,4.0,3,Valuable but Risky,Priority human intervention,25718647.5
CUST0753,5,252322.55,50464.509999999995,299.6,537,69,22,15.4,5,23,44.4,65.762,71.64200000000001,97.19,4859479.0,0.4,0.3188405797101449,1.0,4.6,3,Valuable but Risky,Priority human intervention,25609876.89
CUST1586,5,162802.56,32560.512,324.6,553,91,25,19.0,6,24,49.8,71.124,71.764,94.28,4713754.0,0.4,0.27472527472527475,1.2,4.8,3,Valuable but Risky,Priority human intervention,25513115.83
CUST1315,3,92506.06,30835.353333333333,497.0,513,39,10,16.0,3,7,45.666666666666664,78.89,77.84666666666668,67.62,3380922.0,0.0,0.2564102564102564,1.0,2.3333333333333335,3,Valuable but Risky,Priority human intervention,25359515.71
CUST0153,1,42744.41,42744.41,340.0,340,13,6,12.0,0,6,20.0,53.85,69.72,77.35,3867242.0,0.0,0.46153846153846156,0.0,6.0,3,Valuable but Risky,Priority human intervention,24869340.86
CUST0635,5,164287.51,32857.502,289.8,577,48,14,19.0,6,25,36.4,54.967999999999996,63.681999999999995,97.7,4884777.0,0.4,0.2916666666666667,1.2,5.0,3,Valuable but Risky,Priority human intervention,24594445.13
CUST1389,6,422486.62,70414.43666666666,296.3333333333333,558,79,23,17.666666666666668,5,20,57.5,72.265,73.865,94.76,4738118.0,0.3333333333333333,0.2911392405063291,0.8333333333333334,3.3333333333333335,0,Valuable but Risky,Priority human intervention,24245969.4
CUST1521,4,62087.88,15521.97,402.25,531,59,19,14.25,2,9,66.75,55.235,68.0675,72.99,3649537.0,0.0,0.3220338983050847,0.5,2.25,3,Valuable but Risky,Priority human intervention,24232616.4
CUST1145,5,107898.92,21579.784,300.0,546,67,17,15.8,4,16,50.8,78.7,78.27000000000001,96.3,4814812.0,0.2,0.2537313432835821,0.8,3.2,0,Valuable but Risky,Priority human intervention,24145922.87
CUST1943,5,201091.88,40218.376000000004,275.4,488,62,19,18.0,3,26,64.2,68.078,72.038,95.41,4770553.0,0.4,0.3064516129032258,0.6,5.2,3,Valuable but Risky,Priority human intervention,23396792.47
CUST1583,4,149582.24,37395.56,289.5,458,97,32,6.25,7,10,31.0,66.43,75.965,89.93,4496460.0,0.25,0.32989690721649484,1.75,2.5,3,Valuable but Risky,Priority human intervention,23291431.02
CUST0372,5,92642.13,18528.426,278.4,428,64,14,10.6,5,15,38.2,77.478,80.378,99.1,4954948.0,0.4,0.21875,1.0,3.0,0,Valuable but Risky,Priority human intervention,22850981.44
CUST1286,3,57315.55,19105.183333333334,289.0,527,34,9,10.333333333333334,1,13,59.333333333333336,73.33,79.79666666666667,92.33,4616701.0,0.3333333333333333,0.2647058823529412,0.3333333333333333,4.333333333333333,0,Valuable but Risky,Priority human intervention,22712811.07
CUST0177,6,129225.06,21537.51,271.3333333333333,542,107,33,15.5,6,22,63.0,67.48333333333333,72.44333333333333,93.46999999999998,4673636.0,0.16666666666666666,0.308411214953271,1.0,3.6666666666666665,3,Valuable but Risky,Priority human intervention,22707173.54
CUST0309,6,89113.14,14852.19,317.3333333333333,564,84,24,13.0,4,24,59.666666666666664,74.53833333333334,78.13666666666667,84.49,4224482.0,0.3333333333333333,0.2857142857142857,0.6666666666666666,4.0,0,Valuable but Risky,Priority human intervention,22667363.42
CUST1230,3,75096.64,25032.213333333333,284.0,456,53,16,18.0,3,10,49.333333333333336,69.82666666666667,72.11666666666666,90.39,4519353.0,0.3333333333333333,0.3018867924528302,1.0,3.3333333333333335,3,Valuable but Risky,Priority human intervention,22593354.17
CUST1105,5,140215.99,28043.197999999997,283.4,588,100,32,15.6,4,13,42.0,68.60799999999999,73.34400000000001,88.89,4444643.0,0.6,0.32,0.8,2.6,3,Valuable but Risky,Priority human intervention,22493804.87
CUST1224,8,339772.70999999996,42471.588749999995,297.375,549,156,40,13.875,5,32,61.125,72.21125,76.5325,89.95,4497395.0,0.375,0.2564102564102564,0.625,4.0,0,Valuable but Risky,Priority human intervention,22453965.27
CUST0830,4,111422.77,27855.6925,309.5,541,52,8,11.25,3,10,68.25,92.195,87.85000000000001,94.93,4746671.0,0.25,0.15384615384615385,0.75,2.5,0,Valuable but Risky,Priority human intervention,22428020.48
CUST1953,7,475206.65,67886.66428571429,270.2857142857143,549,80,19,18.285714285714285,5,25,45.0,84.83142857142856,80.01714285714286,97.49,4874574.0,0.2857142857142857,0.2375,0.7142857142857143,3.5714285714285716,0,Valuable but Risky,Priority human intervention,22336690.8
CUST0085,7,620057.47,88579.63857142857,267.7142857142857,448,91,30,6.714285714285714,6,30,23.428571428571427,73.26714285714286,80.89142857142858,90.5,4525156.0,0.14285714285714285,0.32967032967032966,0.8571428571428571,4.285714285714286,0,Valuable but Risky,Priority human intervention,22125242.34
CUST1829,5,66481.95,13296.39,356.8,516,56,14,13.8,3,28,52.6,79.702,80.372,77.42,3870888.0,0.2,0.25,0.6,5.6,0,Valuable but Risky,Priority human intervention,22102770.48
CUST0593,2,39969.13,19984.565,286.0,405,8,2,20.5,0,4,26.0,85.715,80.56,91.26,4563070.0,1.0,0.25,0.0,2.0,0,Valuable but Risky,Priority human intervention,22016812.75
CUST1535,4,217883.34999999998,54470.837499999994,313.5,530,65,17,21.0,4,9,60.5,76.27250000000001,73.54,83.73,4186725.0,0.25,0.26153846153846155,1.0,2.25,0,Valuable but Risky,Priority human intervention,21839889.93
CUST1803,5,392238.02999999997,78447.606,258.8,531,84,24,10.6,3,16,33.2,57.758,71.32000000000001,93.73,4686440.0,0.4,0.2857142857142857,0.6,3.2,0,Valuable but Risky,Priority human intervention,21619217.21
CUST0821,6,539573.83,89928.97166666666,282.6666666666667,526,113,31,13.166666666666666,5,17,66.33333333333333,74.8,77.83333333333333,88.42,4421047.0,0.3333333333333333,0.2743362831858407,0.8333333333333334,2.8333333333333335,0,Valuable but Risky,Priority human intervention,21559059.64
