customer_id,invoice_id,invoice_amount,invoice_date,due_date,payment_date,payment_status,days_overdue,previous_payments,previous_late_payments,average_payment_delay,payment_failures,communication_count,last_contact_days,discount_used,recovered,customer_segment,customer_lifetime_value,payment_delay,invoice_age,late_payment_ratio,payment_reliability_score,overdue_revenue,recovery_opportunity,overdue_severity,invoice_value_category,payment_behavior_score,communication_effectiveness,customer_value_score,overdue_risk_score,recovery_potential_score,expected_recovery_baseline,recovery_priority_score,recovery_probability,recovery_probability_percent,expected_recovery,overdue_status,overdue_invoice,risk_level,urgency_score,recovery_value_score,priority_score,normalized_priority,priority_category,recommended_action,potential_loss
CUST0739,INV000001,118526.09,2026-01-25,2026-02-24,,Overdue,191,28,5,31,0,6,27,1,0,SMB,3222382,191.0,221,0.1785714285714285,82.14,118526.09,True,Critical,Medium,72.47,0.176,64.45,55.36,56.11,66504.99,193529.52,0.12706207916844725,12.71,15060.171431106504,180+ Days,True,Critical,100,6.447609654537986,30120.34286221301,9.210870935054267,Critical,Escalate to human recovery team,103465.9185688935
CUST0726,INV000002,5000.0,2025-08-05,2025-08-20,,Overdue,379,16,4,18,0,5,37,0,0,Mid-Market,3474083,379.0,394,0.25,75.0,5000.0,True,Critical,Small,76.7,0.116,69.48,57.5,50.94,2547.0,12200.13,0.024248900739507754,2.42,121.24450369753878,180+ Days,True,Critical,100,0.05190759190066414,242.48900739507755,0.0741537027152345,Critical,Escalate to human recovery team,4878.755496302461
CUST0872,INV000003,45176.46,2026-02-03,2026-03-20,,Overdue,167,21,7,0,1,7,88,0,0,SMB,4049453,167.0,212,0.3333333333333333,66.67,45176.46,True,Critical,Small,81.34,0.073,80.99,64.0,44.06,19904.75,53145.68,0.18760356178186469,18.76,8475.264804695938,91-180 Days,True,Critical,80,3.6284579780184236,15255.47664845269,4.66516025745226,Critical,Escalate to human recovery team,36701.19519530406
CUST1687,INV000004,19906.52,2025-09-17,2025-10-17,2025-11-09,Paid,0,2,1,16,4,7,30,0,1,Enterprise,761943,23.0,351,0.5,50.0,0.0,False,Current,Small,57.4,0.184,15.24,31.0,50.33,10018.95,10018.95,0.9926758487781627,99.27,19760.72163721947,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,145.79836278052971
CUST0192,INV000005,147389.17,2025-11-16,2025-12-01,,Overdue,276,26,6,30,0,6,88,0,0,Enterprise,4402892,276.0,291,0.2307692307692307,76.92,147389.17,True,Critical,Medium,70.46,0.063,88.06,56.92,50.95,75094.78,282356.37,0.07096014980650024,7.1,10458.757583055733,180+ Days,True,Critical,100,4.477637367905313,20917.515166111465,6.396624811293304,Critical,Escalate to human recovery team,136930.41241694428
CUST1987,INV000006,30972.8,2025-07-15,2025-08-14,,Overdue,385,22,3,6,1,4,65,0,0,Mid-Market,2764766,385.0,415,0.1363636363636363,86.36,30972.8,True,Critical,Small,87.58,0.057,55.3,58.09,54.67,16932.83,82124.23,0.03906876969469621,3.91,1210.069189999887,180+ Days,True,Critical,100,0.518058763659704,2420.138379999774,0.7400839480852915,Critical,Escalate to human recovery team,29762.730810000114
CUST1576,INV000007,15368.8,2026-04-23,2026-05-23,2026-05-30,Paid,0,3,0,0,0,7,15,0,1,SMB,638574,7.0,133,0.0,100.0,0.0,False,Current,Small,100.0,0.304,12.77,0.0,86.08,13229.46,13229.46,0.9991064257028113,99.91,15355.066835341366,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,13.733164658633541
CUST1266,INV000008,17193.61,2026-02-22,2026-03-24,,Overdue,163,28,11,17,0,6,24,0,1,SMB,858301,163.0,193,0.3928571428571428,60.71,17193.61,True,Critical,Small,70.16,0.194,17.17,61.79,44.57,7663.19,20154.19,0.3437720852684963,34.38,5910.68316299327,91-180 Days,True,Critical,80,2.5305009309466087,10639.229693387886,3.2535011969313543,Critical,Escalate to human recovery team,11282.92683700673
CUST0138,INV000009,22923.24,2026-04-20,2026-05-05,,Overdue,121,16,5,13,3,1,11,0,0,Mid-Market,2893236,121.0,136,0.3125,68.75,22923.24,True,Critical,Small,70.58,0.077,57.86,71.38,42.49,9740.08,21525.58,0.3193998738473762,31.94,7321.6799641731295,91-180 Days,True,Critical,80,3.1345814780656567,13179.023935511634,4.030176186084416,Critical,Escalate to human recovery team,15601.560035826871
CUST0345,INV000010,7024.85,2026-07-22,2026-08-21,,Overdue,13,26,4,13,1,7,50,0,0,SMB,4120028,13.0,43,0.1538461538461538,84.62,7024.85,True,Mild,Small,82.51,0.121,82.4,14.03,70.59,4958.84,5603.49,0.5256814268247548,52.57,3692.833171229879,1-30 Days,True,Low,20,1.5809877673929325,4431.399805475855,1.355132372051085,Low,Send payment reminder,3332.0168287701213
CUST1204,INV000011,10230.52,2026-06-28,2026-08-12,2026-08-12,Paid,0,10,0,10,0,3,30,0,1,SMB,330833,0.0,67,0.0,100.0,0.0,False,Current,Small,94.0,0.088,6.62,0.0,81.76,8364.47,8364.47,0.9849810267449196,98.5,10076.868093734436,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,153.65190626556432
CUST1009,INV000012,5000.0,2025-08-19,2025-09-03,2025-09-11,Paid,0,29,5,6,0,0,18,0,1,SMB,4455813,8.0,380,0.1724137931034483,82.76,0.0,False,Current,Small,87.78,0.0,89.12,5.17,70.43,3521.5,3521.5,0.9965153247070591,99.65,4982.576623535295,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,17.423376464705143
CUST1736,INV000013,8751.87,2026-06-05,2026-07-05,,Overdue,60,29,11,5,1,7,33,1,1,Enterprise,1929262,60.0,90,0.3793103448275862,62.07,8751.87,True,Moderate,Small,76.04,0.171,38.59,40.38,52.22,4570.23,7312.37,0.6247553069677458,62.48,5467.777228391807,31-60 Days,True,Medium,40,2.3408825993723608,7654.888119748529,2.340882599372361,Medium,Send personalized payment reminder,3284.092771608194
CUST0503,INV000014,24195.13,2025-07-19,2025-08-18,2025-09-07,Paid,0,9,2,15,1,3,3,1,1,SMB,2878630,20.0,411,0.2222222222222222,77.78,0.0,False,Current,Small,77.89,0.429,57.57,10.67,74.85,18110.05,18110.05,0.9997635874321236,99.98,24189.409967186595,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,5.720032813405851
CUST0203,INV000015,29737.82,2026-08-22,2026-09-21,,Overdue,0,14,5,19,1,4,66,0,0,SMB,2700235,0.0,12,0.3571428571428571,64.29,29737.82,False,Current,Small,68.74,0.056,54.0,14.71,59.9,17812.95,17812.95,0.6001211939421779,60.01,17846.296043637576,Current,False,Current,0,0.0,0.0,0.0,Monitor,Monitor and schedule follow-up,11891.523956362424
